question,answer
スカラビア副寮長の名前は？,ジャミル・バイパー
ポムフィオーレ副寮長の名前は？,ルーク・ハント
ディアソムニア副寮長の名前は？,リリア・ヴァンルージュ
「ユニーク魔法」とは何？,それぞれのキャラクターが持つ固有の魔法だよ。
主人公（監督生）が最初に会うキャラクターは？,グリム
主人公（監督生）の学年は？,1年生
主人公（監督生）の名前は？,名前は好きな名前を決めることができるよ。また、公式の名前は、「ゆう」だよ。
寮長会議とは何？,各寮長が集まって学校運営を話し合う会議だよ。
グリムの夢は？,偉大な魔法使いになることです！
ハーツラビュル寮の寮生は？,リドル・ローズハート、トレイ・クローバー、ケイト・ダイヤモンド、エース・トラッポラ、デュース・スペード
リドルのユニーク魔法の名前は？,首をはねろ（オフ・ウィズ・ユアヘッド）
リドルの性格は？,厳格な性格で、わがままで怒りっぽく、独裁的なキャラクター。寮の法律を破ったものは冷酷に罰する性格だよ。
リドルの誕生日は？,8月24日です。（乙女座）
彼の得意科目は何ですか？,実践魔法だよ。
リドルの好きな食べ物は何ですか？,苺タルトだよ。
彼のユニーク魔法の効果は何ですか？,相手の魔法を無効化し、行動を制限するよ。
リドルがリーダーとして心がけていることは？,規律を守ることと、仲間の統制を保つことです。
リドルはどんな過去を持っていますか？,厳しい母親に育てられ、完璧を追求する性格になりました。
リドルはどのように変化していきますか？,厳しさから仲間を思いやるように成長していきます。
リドルの所属する部活は？,馬術部だよ。
リドルの声優は？,花江夏樹（はなえなつき）さん
リドルの出身は？,薔薇の王国だよ。
リドルの歳は？,17歳
リドルのクラスは？,2年E組26番
リドルの身長は？,160cm
リドルの利き手は？,右だよ。
リドルの元ネタは？,元ネタは「不思議の国のアリス」のハートの女王と言われているよ。
トレイのユニーク魔法は何ですか？,薔薇を塗ろう（ドゥードゥル・スート）
トレイの誕生日は？,10月25日（蠍座）
トレイの性格はどんな感じですか？,穏やかで面倒見が良く、後輩を支える兄貴分です。
トレイが好きな食べ物は？,スミレの砂糖漬けだよ。
トレイの得意な魔法科目は？,魔法植物学です。
トレイの趣味は何ですか？,お菓子作りです。
トレイが大事にしていることは？,仲間を支えることです。
トレイがリドルに対して感じていることは？,リドルの厳しさを理解しつつ、時折心配しています。
トレイの声優は？,鈴木崚汰（すずきりょうた）さん
トレイの出身は？,薔薇の王国だよ。
トレイの歳は？,18歳
トレイのクラスは？,3年E組04番
トレイの身長は？,181cm
トレイの利き手は？,右だよ。
トレイの所属する部活は？,サイエンス部だよ。
トレイの趣味は？,歯磨きだよ。
トレイの嫌いなことは？,歯磨きをしないで寝る事だよ。
トレイの元ネタは？,元ネタは「不思議の国のアリス」のトランプ兵（クラブ）と言われているよ。
ケイトのユニーク魔法は？,舞い散る手札（スプリット・カード）
ケイトの誕生日はいつですか？,2月4日（水瓶座）
ケイトの性格はどのようなものですか？,明るく社交的ですが、内面では孤独を感じています。
ケイトが好きなことは？,SNSでの自己表現や写真撮影です。
ケイトのユニーク魔法の効果は？,分身を作り出して、多くの場所で一度に行動できます。
ケイトが大切にしていることは？,自分の見せ方を工夫することです。
ケイトの得意な科目は？,占星術だよ。
ケイトはなぜ常にポジティブなのですか？,自分を強く保つために、明るく振る舞っています。
ケイトの趣味は？,カフェ巡りだよ。
ケイトの声優は？,小林竜之（こばやしたつゆき）さん
ケイトの出身は？,輝石の国だよ。
ケイトの歳は？,18歳
ケイトのクラスは？,3年B組05番
ケイトの身長は？,176cm
ケイトの利き手は？,右だよ。
ケイトの所属する部活は？,軽音部だよ。
エースのユニーク魔法は？,まだ、ないよ。
エースの誕生日はいつですか？,9月23日（天秤座）
エースはどんな性格ですか？,いたずら好きで、少しお調子者です。
エースの得意科目は？,魔法解析学だよ。。
エースの趣味は何ですか？,ゲームやスポーツです。
エースが一番の親友は誰ですか？,デュース・スペード、監督生、グリムだよ。
エースの家族構成は？,兄がいます。
エースがリドルに反抗する理由は？,リドルの規律の厳しさに反発を感じているからです。
エースが得意なスポーツは？,バスケットボールだよ。
エースの声優は？,山下誠一郎（やましたせいいちろう）さん
エースの出身は？,薔薇の王国だよ。
エースの歳は？,16歳
エースのクラスは？,1年A組25番
エースの身長は？,172cm
エースの利き手は？,右だよ。
エースの所属する部活は？,バスケットボール部
エースの趣味は？,カードゲームだよ。
エースの嫌いなことは？,優柔不断なことだよ。
エースの元ネタは？,元ネタは「不思議の国のアリス」のトランプ兵（ハート）と言われているよ。
ケイトの元ネタは？,元ネタは「不思議の国のアリス」のトランプ兵（ダイヤ）と言われているよ。
デュースのユニーク魔法は？,しっぺ返し（ベット・ザ・リミット）
デュースの誕生日は？,6月3日（双子座）
デュースの性格は？,真面目で努力家ですが、時折おっちょこちょいです。
デュースの過去は？,元不良で、現在は母親を喜ばせたい一心で努力しています。
デュースの趣味は？,マジカルホイールに乗ることだよ。
デュースの好きな食べ物は？,卵料理だよ。
デュースが大事にしていることは？,成績を上げ、母親を誇りに思わせることです。
デュースの得意科目は？,体力育成だよ。
デュースの声優は？,小林千晃（こばやしちあき）さん
デュースの出身は？,薔薇の王国だよ。
デュースの歳は？,16歳
デュースのクラスは？,1年A組24番
デュースの身長は？,173cm
デュースの利き手は？,右だよ。
デュースの所属する部活は？,陸上部
デュースの特技は？,機械整備することだよ。
デュースの嫌いなことは？,タイムセールだよ。
デュースの元ネタは？,元ネタは「不思議の国のアリス」のトランプ兵（スペード）と言われているよ。
サバナクロ―寮の寮生は？,レオナ・キングスカラー、ラギー・ブッチ、ジャック・ハウル
レオナのユニーク魔法の名前は？,王者の咆哮（キングス・ロアー）
レオナはどこの王子ですか？,夕焼けの草原の第二王子だよ。
レオナはなぜ王になれないの？,彼は次男であり、王位継承権一位ではないからだね。
レオナの得意な科目は？,古代呪文語が得意だよ。
レオナの好きな食べ物は？,肉だよ。
レオナの寮長としての評価は？,力強くカリスマ的だけど、怠け者としても知られているよ。
レオナはどんな性格ですか？,冷静沈着で少し皮肉屋だけど、責任感が強い一面もあるよ。
レオナの趣味は？,昼寝をすることが大好きなんだ。
レオナの誕生日は？,7月27日（獅子座）
レオナの声優は？,梅原裕一郎（うめはらゆういちろう）さん
レオナの出身は？,夕焼けの草原だよ。
レオナの歳は？,20歳
レオナのクラスは？,3年A組13番
レオナの身長は？,185cm
レオナの利き手は？,右だよ。
レオナの所属する部活は？,マジカルシフト部
レオナの特技は？,3秒で寝られることだよ。
レオナの嫌いなことは？,子どもの相手だよ。
レオナの元ネタは？,元ネタは「ライオン・キング」のスカーと言われているよ。
ラギーのユニーク魔法は何？,愚者の行進（ラフ・ウィズ・ミー）
ラギーはどんな背景を持っていますか？,貧しい家庭で育ち、サバイバルスキルに長けているよ。
ラギーの得意な科目は？,動物言語学が得意だよ。
ラギーの好きな食べ物は？,何でも食べるけど、特にドーナッツが好きだね。
ラギーはなぜレオナに忠実なの？,お金をたくさん持っているから。あと、自分の王として認めているからだよ。
ラギーはどんな性格ですか？,明るくお調子者だけど、時々ずる賢いところもあるんだ。
ラギーの趣味は？,節約や物を再利用することが好きだよ。あと、アルバイト。
ラギーの誕生日は？,4月18日（牡牛座）
ラギーの声優は？,市川蒼（いちかわあおい）さん
ラギーの出身は？,夕焼けの草原だよ。
ラギーの歳は？,17歳
ラギーのクラスは？,2年B組02番
ラギーの身長は？,171cm
ラギーの利き手は？,右だよ。
ラギーの所属する部活は？,マジカルシフト部
ラギーの特技は？,釣りだよ。
ラギーの嫌いなことは？,損をすることだよ。
ラギーの元ネタは？,元ネタは「ライオン・キング」のブチハイエナと言われているよ。
ジャックのユニーク魔法は？,月夜を破る遠吠え（アンリイッシュ・ビースト）
ジャックの性格はどんな感じですか？,誠実で真面目な性格だよ。
ジャックの得意な科目は？,運動全般、特に体育が得意だよ。
ジャックの好きな食べ物は？,洋ナシのコンポートが好きだよ。
ジャックの趣味は？,筋トレとランニングが趣味だよ。あと、サボテン栽培が好きみたいだよ。
ジャックの誕生日は？,10月11日（天秤座）
ジャックはどんな家族構成ですか？,ジャックは大家族で、兄弟が多いんだ。
ジャックはなぜサバナクロー寮に？,闇の鏡に選ばれたから。
ジャックの声優は？,坂泰斗（ばんたいと）さん
ジャックの出身は？,輝石の国だよ。
ジャックの歳は？,16歳
ジャックのクラスは？,1年B組11番
ジャックの身長は？,192cm
ジャックの利き手は？,右だよ。
ジャックの所属する部活は？,陸上部
ジャックの特技は？,スノーボードだよ。
ジャックの嫌いなことは？,無駄な喧嘩だよ。
ジャックの元ネタは？,元ネタは「ライオン・ガード」に登場するレイレイか「ホワイトファング」に登場するウルフドッグ・ホワイトファングと言われているよ。
オクタヴィネル寮の寮生は？,アズール・アーシェングロット、ジェイド・リーチ、フロイド・リーチ
アズールのユニーク魔法の名前は？,黄金の契約書（イッツ・ア・ディール）
アズールの得意な科目は？,錬金術だよ。
アズールの夢は何ですか？,ナイトレイブンカレッジを卒業して、大きなビジネスを成功させることです。つまり、お金をたくさん稼ぐことだよ。
なぜアズールは契約を好むのですか？,子供の頃の経験から、人との取引が力を持つ手段だと考えています。
アズールの幼少期のコンプレックスは？,昔は太っていて、他人からバカにされていました。
アズールが得意とするビジネスの種類は？,モストロ・ラウンジの経営をはじめ、契約を駆使した事業運営です。
アズールの好きな食べ物は？,唐揚げだよ。
アズールはどんな性格ですか？,狡猾で計算高く、契約を重んじる策略家です。
アズールの声優は？,田丸篤志（たまるあつし）さん
アズールの出身は？,珊瑚の海だよ。
アズールの歳は？,17歳
アズールのクラスは？,2年C組03番
アズールの身長は？,176cm
アズールの利き手は？,右だよ。
アズールの所属する部活は？,ボードゲーム部
アズールの特技は？,暗算だよ。
アズールの嫌いなことは？,運頼みだよ。
アズールの元ネタは？,元ネタは『リトル・マーメイド』アースラと言われているよ。
ジェイドの趣味は何ですか？,キノコの観察と研究です。
ジェイドのユニーク魔法は何ですか？,かじりとる歯（ショック・ザ・ハート）
ジェイドの性格はどのようなものですか？,落ち着いていて丁寧な口調ですが、何を考えているのかわかりにくいです。
ジェイドが得意な料理は？,タコ料理です。
ジェイドの好きな食べ物は何ですか？,タコのカルパッチョ
ジェイドは何を観察するのが好きですか？,キノコの観察だよ。
ジェイドが好む環境は？,自然豊かな場所や山が好きです。
ジェイドの口調や態度に隠された本音は？,丁寧な口調の裏に、時折皮肉や意図が含まれていることがあります。
ジェイドの声優は？,駒田航（こまだわたる）さん
ジェイドの出身は？,珊瑚の海だよ。
ジェイドの歳は？,17歳
ジェイドのクラスは？,2年E組13番
ジェイドの身長は？,190cm
ジェイドの利き手は？,右だよ。
ジェイドの所属する部活は？,山を愛する会　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　一人だけだけどね！
ジェイドの特技は？,紅茶を入れることだよ。
ジェイドの嫌いなことは？,予定調和だよ。
ジェイドの元ネタは？,元ネタは『リトル・マーメイド』ジェットサムと言われているよ。
アズールの誕生日は？,2月24日（魚座）
ジェイドの誕生日は？,11月5日（蠍座）
ジェイドの家族構成は？,父・母・フロイドだよ。
フロイドのユニーク魔法は？,巻きつく尾（バインド・ザ・ハート）
フロイドの性格はどんなものですか？,気分屋で、非常に感情の浮き沈みが激しいです。
フロイドの好きな食べ物は？,タコ焼きです。
フロイドの趣味は？,面白い人や状況に飛び込むこと
フロイドの特技は？,水中での戦闘や、素早い動き
フロイドの双子の兄弟は誰ですか？,ジェイド・リーチです。
フロイドの好きなことは何ですか？,他人をからかうことや、予測できない行動をとることが好きです。
フロイドはなぜ突然機嫌が変わるのですか？,感情が非常に不安定で、気分次第で態度が大きく変わります。
フロイドの目標は何ですか？,特に明確な目標はなく、楽しく過ごすことが彼の最優先です。
フロイドが楽しんでいることは？,戦いや危険な状況に身を投じることを楽しんでいます。
フロイドの誕生日は？,11月5日（蠍座）
フロイドの声優は？,岡本信彦（おかもとのぶひこ）さん
フロイドの出身は？,珊瑚の海だよ。
フロイドの歳は？,17歳
フロイドのクラスは？,2年D組17番
フロイドの身長は？,190cm
フロイドの利き手は？,左だよ。
フロイドの所属する部活は？,バスケットボール部
フロイドの特技は？,パルクールだよ。
フロイドの嫌いなことは？,束縛だよ。
フロイドの元ネタは？,元ネタは『リトル・マーメイド』フロットサムと言われているよ。
スカラビア寮の寮生は？,カリム・アルアジーム、ジャミル・バイパー
カリムの特技は何ですか？,水を自在に操る魔法が得意です。
カリムの性格はどんな感じですか？,明るくて、誰に対してもフレンドリーです。
カリムはなぜジャミルを信頼しているのですか？,ジャミルは幼い頃からカリムを支え続けているからです。
カリムの好きな食べ物は何ですか？,ココナッツジュースが好物です。
カリムの家族はどんな人たちですか？,カリムは裕福な家庭の出身で、大家族に囲まれています。
カリムのユニーク魔法の名前は何ですか？,枯れない恵み（オアシス・メイカー）
カリムはリーダーシップを発揮しますか？,常にポジティブで周囲を引っ張るリーダーです。
カリムはどんなファッションが好きですか？,従者のおまかせだと思うよ。
カリムはどんな魔法道具を使いますか？,カリムはマジカルペンを使って魔法を操ります。
カリムの声優は？,古田一紀（ふるたかずき）さん
カリムの出身は？,熱砂の国だよ。
カリムの歳は？,17歳
カリムのクラスは？,2年A組01番
カリムの身長は？,168cm
カリムの利き手は？,右だよ。
カリムの所属する部活は？,軽音部
カリムの特技は？,毒の鑑定だよ。
カリムの嫌いなことは？,一人飯だよ。
カリムの元ネタは？,元ネタは『アラジン』のサルタン王、『アラジン完結編/盗賊王の伝説』に登場するカシームと言われているよ。
ジャミルのユニーク魔法は何ですか？,蛇のいざない（スネークウィスパー）
ジャミルはなぜカリムに仕えているのですか？,ジャミルの家系は代々アルアジーム家に仕えているからです。
ジャミルはどんな性格ですか？,冷静で計算高いですが、内面には熱い情熱を秘めています。
ジャミルの趣味は何ですか？,ブレイクダンスです。
ジャミルの特技は何ですか？,料理を作ることが特技です。
ジャミルの好きな食べ物は何ですか？,スパイス料理やカレーが好物です。
ジャミルは家族と仲が良いですか？,家族とは距離を感じている部分もありますが、仲良しだよ。
ジャミルの一番の苦労は何ですか？,カリムを守りながら、自分の感情を抑え込むことが一番の苦労です。
ジャミルの声優は？,二葉要（ふたばかなめ）さん
ジャミルの出身は？,熱砂の国だよ。
ジャミルの歳は？,17歳
ジャミルのクラスは？,2年C組31番
ジャミルの身長は？,175cm
ジャミルの利き手は？,右だよ。
ジャミルの所属する部活は？,バスケットボール部
ジャミルの特技は？,料理だよ。
ジャミルの嫌いなことは？,虫に触ることだよ。
ジャミルの元ネタは？,元ネタは『アラジン』ジャファーと言われているよ。
ジャミルの誕生日は？,9月12日（乙女座）
カリムの誕生日は？,6月25日（蟹座）
ポムフィオーレ寮の寮生は？,ヴィル・シェーンハイト、ルーク・ハント、エペル・フェルミエ
ヴィルの夢は何ですか？,世界一美しい存在になることです。
ヴィルの得意な魔法は何ですか？,毒を作り出す魔法です。
ヴィルの好きな食べ物は何ですか？,ヴィルはお手製スムージーを好みます。
ヴィルの特技は何ですか？,化粧品作りです。
ヴィルの誕生日はいつですか？,4月9日（牡牛座）
ヴィルのユニーク魔法は何ですか？,美しき華の毒（フェアレスト・ワン・オブ・オール）
ヴィルはなぜリーダーになったのですか？,美しさとリーダーシップが認められたからです。
ヴィルの声優は？,相葉裕樹（あいばひろき）さん
ヴィルの出身は？,輝石の国だよ。
ヴィルの歳は？,18歳
ヴィルのクラスは？,3年C組23番
ヴィルの身長は？,183cm
ヴィルの利き手は？,右だよ。
ヴィルの所属する部活は？,映画研究会
ヴィルの特技は？,化粧品作りだよ。
ヴィルの嫌いなことは？,手抜きすることだよ。
ヴィルの元ネタは？,元ネタは『白雪姫』女王と言われているよ。
ルークの特技は何ですか？,人間観察です。
ルークのユニーク魔法は何ですか？,ユニーク魔法を放った相手を世界の果てまで追いかけることができる魔法だよ。
ルークがヴィルに忠誠を誓う理由は？,ヴィルの美と信念に深く感銘を受けているからです。
ルークの誕生日はいつですか？,12月2日（射手座）
ルークの好きなものは何ですか？,美しいもの全般です。
ルークの趣味は何ですか？,舞台鑑賞することです。
ルークの声優は？,糸川耀士郎（いとかわようじろう）さん
ルークの出身は？,夕焼けの草原だよ。
ルークの歳は？,18歳
ルークのクラスは？,3年A組10番
ルークの身長は？,177cm
ルークの利き手は？,右だよ。
ルークの所属する部活は？,サイエンス部
ルークの嫌いなことは？,プライベートに踏み込まれることだよ。
ルークの元ネタは？,元ネタは『白雪姫』狩人と言われているよ。
エペルの夢は何ですか？,強くたくましい男になることです。
エペルのユニーク魔法は何ですか？,相手の動きを封じます。
エペルの好きなものは何ですか？,力強いものです。
エペルの特技は何ですか？,果樹園での作業です。
エペルの誕生日はいつですか？,5月6日（牡牛座）
エペルがヴィルに反発する理由は？,自分の理想とヴィルの美の基準が異なるからです。
エペルの趣味は何ですか？,体を動かすことと、ドライブです。
エペルの性格はどうですか？,外見は可愛らしいですが、内面は非常に強い意志を持っています。
エペルがサバナクロ―寮に憧れている理由は？,強さとたくましさ、体格の良さに憧れているからです。
エペルの家族は何をしているのですか？,彼の家族はリンゴ農家を営んでいます。
エペルの声優は？,土屋神葉（つちやしんば）さん
エペルの出身は？,豊作村だよ。
エペルの歳は？,16歳
エペルのクラスは？,1年B組07番
エペルの身長は？,156cm
エペルの利き手は？,右だよ。
エペルの所属する部活は？,マジカルシフト部
エペルの嫌いなことは？,女に間違われることだよ。
エペルの元ネタは？,元ネタは『白雪姫』の毒林檎と言われているよ。
イグニハイド寮の寮生は？,イデア・シュラウド、オルト・シュラウド
イデアが寮にこもる理由は？,イデアは極度の内向的性格で、人前に出るのが苦手です。
イデアの得意分野は？,彼は工学やプログラムなどの技術に秀でています。
イデアが作ったロボットは？,オルトというロボットが彼の弟として登場します。
イデアの好きな食べ物は？,スナック菓子やインスタント食品が好物です。
イデアの最大の恐れは？,彼は対人関係や現実世界との接触を恐れています。
イデアが好きなゲームジャンルは？,ロールプレイングゲーム（RPG）が好きです。
イデアのヘアスタイルの特徴は？,彼の髪は青白い炎のようになっています。
イデアが寮長としての役割を果たす理由は？,寮で一番技術と知識に長けていたから寮長に選ばれました。
イデアが一番大切にしているものは？,オルトというロボットの弟です。
イデアの声優は？,内山昂輝（うちやまこうき）さん
イデアの出身は？,嘆きの島だよ。
イデアの歳は？,18歳
イデアのクラスは？,3年B組28番
イデアの身長は？,183cm
イデアの利き手は？,左だよ。
イデアの所属する部活は？,ボードゲーム部
イデアの嫌いなことは？,対面会話だよ。
イデアの元ネタは？,元ネタは『ヘラクレス』ハデスと言われているよ。
イデアの誕生日は？,12月18日（射手座）
イデアの得意科目は？,召喚術だよ。
イデアの特技は？,プログラミングを組むことだよ。
オルトは誰ですか？,オルトはイデアの弟であり、ロボットです。
オルトの性格は？,明るく、フレンドリーで、兄思いな性格です。
オルトの特殊能力は何ですか？,オルトは情報処理能力が非常に高く、ネットワークにアクセスできます。
オルトがイデアに与える影響は？,オルトはイデアの心の支えであり、彼を外の世界に連れ出す存在です。
オルトが壊れたことはありますか？,かつてオルトは破壊されましたが、イデアにより修復されました。
オルトの外見の特徴は？,彼はロボットであり、金属の体に青い炎を持つ特徴的なデザインです。
オルトの夢は何ですか？,オルトはもっと多くの友達を作り、外の世界を知ることが夢です。
オルトの好きな遊びは？,彼はオンラインゲームが好きで、特にイデアと一緒に遊ぶことを楽しんでいます。
オルトの声優は？,蒼井翔太（あおいしょうた）さん
オルトの出身は？,嘆きの島だよ。
オルトの歳は？,不明だよ。
オルトの身長は？,148cm
オルトの利き手は？,右だよ。
オルトの所属する部活は？,ボードゲーム部
オルトの嫌いなことは？,落雷だよ。
オルトの元ネタは？,元ネタはギリシャ神話に登場するオルトロスと言われているよ。
ディアソムニア寮の寮生は？,マレウス・ドラコニア、リリア・ヴァンルージュ、シルバー、セベク・ジグボルト
マレウスの得意な魔法は何ですか？,マレウスはほとんどの魔法を得意としています。
マレウスの趣味は？,趣味は古い建物の見学や歴史に触れることです。
マレウスのユニーク魔法は何ですか？,祝福(フェイ・オブ・マレフィセンス)
なぜマレウスは孤立していますか？,彼は圧倒的な魔力を持ち、周囲から畏怖されています。
マレウスは誰と仲が良いですか？,特にリリアやシルバー、セベクと仲が良いです。
マレウスの好きな食べ物は？,好きな食べ物は氷菓です。
マレウスが気にしていることは？,彼は自分が「招かれざる者」と思われることを気にしています。
マレウスはなぜ学園に来たのですか？,他種族との交流が主な目的で来たようだよ。
マレウスの声優は？,加藤和樹（かとうかずき）さん
マレウスの出身は？,茨の谷
マレウスの歳は？,不明だよ。
マレウスの身長は？,202cm
マレウスの利き手は？,右だよ。
マレウスの所属する部活は？,ガーゴイル研究会
マレウスの嫌いなことは？,機械操作が苦手だよ。
マレウスの元ネタは？,元ネタは『眠れる森の美女』マレフィセントと言われているよ。
リリアの年齢は？,リリアは数百歳を超える非常に古い存在です。
リリアのユニーク魔法は何ですか？,人やものの過去の記憶をのぞくことだよ。
リリアの趣味は何ですか？,趣味はゲームや音楽です。
リリアが一番大切にしているものは？,彼は家族と仲間を非常に大切にしています。
リリアの好物は何ですか？,トマトジュースだよ。
リリアの過去について教えてください。,ツイステ本編の７章に出てくるよ。
リリアはなぜディアソムニア寮に所属していますか？,闇の鏡に選ばれたから。
リリアの声優は？,緑川光（みどりかわひかる）さん
リリアの出身は？,茨の谷
リリアの歳は？,不明だよ。
リリアの身長は？,158cm
リリアの利き手は？,右だよ。
リリアの所属する部活は？,軽音部
リリアの嫌いなことは？,探し物が苦手だよ。
